epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,885.368,0.86647,0.65932,0.89432,0.78706,0.92083,0.87389,0.59996,1.18641,0.73952,0.84864,0.000261864,0.000261864,0.000261864
167,890.834,0.88273,0.67873,0.88293,0.80102,0.90917,0.87809,0.586,1.17726,0.73218,0.85116,0.000254791,0.000254791,0.000254791
168,896.286,0.861,0.67705,0.88163,0.85302,0.93774,0.94639,0.62123,1.18373,0.71423,0.84398,0.000247717,0.000247717,0.000247717
169,901.739,0.87972,0.67573,0.89148,0.88236,0.9256,0.95797,0.63594,1.13954,0.71302,0.8494,0.000240644,0.000240644,0.000240644
170,907.172,0.83297,0.64667,0.8796,0.8517,0.94171,0.94653,0.63001,1.1636,0.69844,0.84051,0.00023357,0.00023357,0.00023357
171,912.599,0.86085,0.64021,0.88119,0.87579,0.9625,0.95608,0.61482,1.20497,0.69466,0.85375,0.000226497,0.000226497,0.000226497
172,918.032,0.87968,0.66571,0.88806,0.82646,0.93681,0.93897,0.5972,1.20767,0.70816,0.84942,0.000219423,0.000219423,0.000219423
173,923.465,0.82896,0.64387,0.88762,0.85656,0.9054,0.9442,0.60516,1.25796,0.74357,0.84649,0.000212349,0.000212349,0.000212349
174,928.903,0.86377,0.64223,0.88603,0.92725,0.87289,0.95378,0.63219,1.14706,0.71343,0.85288,0.000205276,0.000205276,0.000205276
175,934.416,0.84508,0.66959,0.88889,0.90291,0.91695,0.9561,0.61648,1.12361,0.70583,0.85485,0.000198202,0.000198202,0.000198202
176,939.837,0.83681,0.65393,0.88202,0.8939,0.93528,0.9455,0.60813,1.15355,0.70883,0.85824,0.000191129,0.000191129,0.000191129
177,945.251,0.82155,0.65082,0.88277,0.88854,0.91542,0.95,0.64631,1.12148,0.68673,0.85415,0.000184055,0.000184055,0.000184055
178,950.716,0.81397,0.63515,0.88285,0.85647,0.95895,0.94123,0.60952,1.23173,0.69193,0.85535,0.000176982,0.000176982,0.000176982
179,956.158,0.84072,0.65324,0.88374,0.84111,0.9625,0.94745,0.61599,1.18463,0.71226,0.85134,0.000169908,0.000169908,0.000169908
180,961.603,0.8518,0.63902,0.88602,0.87771,0.94601,0.92789,0.65021,1.07599,0.69268,0.84001,0.000162835,0.000162835,0.000162835
181,967.077,0.84086,0.64672,0.88567,0.86464,0.94588,0.92036,0.63034,1.08226,0.69805,0.83807,0.000155761,0.000155761,0.000155761
